Cidade;Rota
ABAÍRA;ABAIRA - ROTA 03.4
Agrovila XV;CARIRANHA - ROTA 05.4
Agrovila XV;CARIRANHA - ROTA 05.4
Alegre;CONDEUBA - RETIRA 03
Alegre;CONDEUBA - RETIRA 03
ANAGE;ANAGE - RETIRA 05
ANAGE (BA);ANAGE - RETIRA 05
ANDARAI;ITUAÇU - ROTA 03
Angra dos Reis;VCA
ARACATU;ARACATU - ROTA 05
ARACATU (BA);ARACATU - ROTA 05
Arapiranga;RIO DE CONTAS - ROTA 03.3
Arcoverde;VCA
BANDEIRA DO COLONIA;ITORORO - ROTA 04
Bandeira do Colônia (Itapetinga);ITAPETINGA - ROTA 04
BARRA DA ESTIVA;ITUAÇU - ROTA 03
BARRA DA ESTIVA (BA);ITUAÇU - ROTA 03
BARRA DO CHO?A;BARRA DO CHOÇA - RETIRA 06
BARRA DO CHOCA;BARRA DO CHOÇA - RETIRA 06
Barra Do Choça;BARRA DO CHOÇA - RETIRA 06
BARRA DO CHOCA (BA);BARRA DO CHOÇA - RETIRA 06
BARRA NOVA;BARRA DO CHOÇA - RETIRA 06
Barra Nova (Barra do Choça);BARRA DO CHOÇA - RETIRA 06
Bate Pé;VCA
Belford Roxo;VCA
BELO CAMPO;BELO CAMPO - RETIRA 03
BELO CAMPO (BA);BELO CAMPO - RETIRA 03
Belo Horizonte;VCA
BOA NOVA;BOA NOVA - ROTA 01
BOA NOVA (BA);BOA NOVA - ROTA 01
BOM JESUS DA SERRA;BOM JESUS DA SERRA - ROTA 01
Boquira;SEBASTIÃO LARANJEIRAS - ROTA 05.4
Brejinho das Ametistas;CAETITE - ROTA 05.3
BRUMADO;BRUMADO - ROTA 05.1
BRUMADO (BA);BRUMADO - ROTA 05.1
Cabralia;PIATÃ - ROTA 03.5
Cabrália;PIATÃ - ROTA 03.5
Cabrália (Piatã);PIATÃ - ROTA 03.5
CACULÉ;CACULE - ROTA 05.2
CACULE (BA);CACULE - ROTA 05.2
CAETANOS;CAETANOS - RETIRA 01
CAETITÉ;CAETITE - ROTA 05.3
Caetité;CAETITE - ROTA 05.3
CAETITE (BA);CAETITE - ROTA 05.3
Cana Brava;MALHADA- ROTA 05.4
Canabravinha;PARAMIRIM - ROTA 03.2
CANDIBA;CANDIBA - ROTA 05.4
CANDIBA (BA);CANDIBA - ROTA 05.4
CÂNDIDO SALES;CANDIDO SALES - RETIRA 02
CANDIDO SALES (BA);CANDIDO SALES - RETIRA 02
CANDIDO SALES (BA);CANDIDO SALES - RETIRA 02
Caraguataí;JUSSIAPE - ROTA 03.4
CARAÍBAS;CARAIBAS - RETIRA 05
Caraibuna;ITUAÇU - ROTA 03
Cariacica;VCA
CARINHANHA;CARIRANHA - ROTA 05.4
CARINHANHA (BA);CARIRANHA - ROTA 05.4
Catolés;ABAIRA - ROTA 03.4
Catolés Abaíra;ABAIRA - ROTA 03.4
CONDEÚBA;CONDEUBA - RETIRA 03
CONDEUBA (BA);CONDEUBA - RETIRA 03
CONDEUBA (BA);CONDEUBA - RETIRA 03
CONTENDAS DO SINCORA;ITUAÇU - ROTA 03
CONTENDAS DO SINCORA (BA);ITUAÇU - ROTA 03
CORDEIROS;CORDEIROS - RETIRA 03
CORDEIROS (BA);CORDEIROS - RETIRA 03
DOM BASILIO;DOM BASILIO - ROTA 03.3
DOM BASILIO (BA);DOM BASILIO - ROTA 03.3
ÉRICO CARDOSO;ERICO CARDOSO - ROTA 03.2
ERICO CARDOSO (BA);ERICO CARDOSO - ROTA 03.2
Esmeraldas;VCA
Eusébio;VCA
GUAJERU;GUAJERU - ROTA 05.2
GUANAMBI;GUANAMBI - ROTA 05.5
Guanambi;GUANAMBI - ROTA 05.5
GUANAMBI;GUANAMBI - ROTA 05.5
GUANAMBI;GUANAMBI - ROTA 05.5
GUANAMBI (BA);GUANAMBI - ROTA 05.5
Guirapa;PINDAI - ROTA 05.4
IBIASSUCÊ;IBISSUCE - ROTA 05.2
IBIASSUCE (BA);IBISSUCE - ROTA 05.2
IBICOARA;ITUAÇU - ROTA 03
IBICOARA (BA);ITUAÇU - ROTA 03
IBICOARA (BA);ITUAÇU - ROTA 03
IBICOARA (BA);ITUAÇU - ROTA 03
IBICUÍ;IBICUI - ROTA 01
IBITIRA;RIO DO ANTONIO - ROTA 05.2
Ibitira - Rio Antônio;RIO DO ANTONIO - ROTA 05.2
Ibitira - Rio do Antônio;RIO DO ANTONIO - ROTA 05.2
Ibitira (Rio do Antônio);RIO DO ANTONIO - ROTA 05.2
IGUA?;IGUAI - ROTA 02
IGUAÍ;IGUAI - ROTA 02
Iguaí;IGUAI - ROTA 02
IGUAI (BA);IGUAI - ROTA 02
Iguaibi;IGUAI - ROTA 02
Inhobim;VCA
Inúbia;PIATÃ - ROTA 03.5
Inúbia (Piatã);PIATÃ - ROTA 03.5
Inúbia (Piatã);PIATÃ - ROTA 03.5
Irundiara;JACARACI - ROTA 05.4
IRUNDIARA (JACARACI);JACARACI - ROTA 05.4
ITAETE;ITUAÇU - ROTA 03
ITAETÉ;ITUAÇU - ROTA 03
ITAJAÍ;NOVA CANAÃ - ROTA 02
ITAMBE;ITAMBÉ - ROTA 04
ITAMBÉ;ITAMBÉ - ROTA 04
Itanagé;LIVRAMENTO - ROTA 03.3
ITAPETINGA;ITAPETINGA - ROTA 04
Itapetinga;ITAPETINGA - ROTA 04
Itapetinga;ITAPETINGA - ROTA 04
ITAPETINGA (BA);ITAPETINGA - ROTA 04
ITAPITANGA;ITAPETINGA - ROTA 04
Itaquaraí;BRUMADO - ROTA 05.1
ITARANTIM;ITARANTIM - ROTA 04
ITATI;ITORORO - ROTA 04
ITORORÓ;ITORORO - ROTA 04
ITORORO (BA);ITORORO - ROTA 04
ITUACU;ITUAÇU - ROTA 03
ITUAÇU;ITUAÇU - ROTA 03
ITUAÇU;ITUAÇU - ROTA 03
ITUACU (BA);ITUAÇU - ROTA 03
IUIÚ;IUIU - ROTA 05.4
JACARACI;JACARACI - ROTA 05.4
Jânio quadros;CARAIBAS - RETIRA 05
Joinville;VCA
José Gonçalves;VCA
José Gonçalves (Vitória da Conqu;VCA
JUIZ DE FORA;VCA
Jundiaí;VCA
JUSSIAPE;JUSSIAPE - ROTA 03.4
JUSSIAPE CARAGUATAI;JUSSIAPE - ROTA 03.4
LAGOA GRANDE;CANDIDO SALES - RETIRA 02
Lagoa José Luís;VCA
Lagoa Preta;TREMENDAL - RETIRA 03
LAGOA REAL;LAGOA REAL - ROTA 05.2
LICÍNIO DE ALMEIDA;LICINIO DE ALMEIDA - ROTA 05.4
livramento;LIVRAMENTO - ROTA 03.3
LIVRAMENTO DE N SENHORA;LIVRAMENTO - ROTA 03.3
LIVRAMENTO DE NOSSA SENHORA;LIVRAMENTO - ROTA 03.3
LIVRAMENTO DE NOSSA SENHORA (BA);LIVRAMENTO - ROTA 03.3
LUCAIA;PLANALT0 - ROTA 01
MACARANI;MACARANI - ROTA 04
MACARANI (BA);MACARANI - ROTA 04
MAETINGA;MAETINGA - RETIRA 05
MAETINGA (BA);MAETINGA - RETIRA 05
MAIQUINIQUE;MAIQUENIQUE - ROTA 04
MAIQUINIWUE;MAIQUENIQUE - ROTA 04
MALHADA;MALHADA- ROTA 05.4
MALHADA (BA);MALHADA- ROTA 05.4
MALHADA DE PEDRAS;MALHADA DE PEDRAS - ROTA 05.2
Mandiroba;SEBASTIÃO LARANJEIRAS - ROTA 05.4
Manhuaçu;VCA
Maniaçu;CAETITE - ROTA 05.3
MARCOLINO MOURA;RIO DE CONTAS - ROTA 03.3
Maricá;VCA
MATINA;MATINA - ROTA 05.4
Mato Grosso;RIO DE CONTAS - ROTA 03.3
Mato Grosso;RIO DE CONTAS - ROTA 03.3
Mauá;VCA
MIRANTE;MIRANTE - ROTA 01
Morrinhos;GUANAMBI - ROTA 05.5
Mortu6;MORTUGABA - ROTA 05.4
MORTUGABA;MORTUGABA - ROTA 05.4
Mutas;GUANAMBI - ROTA 05.5
Mutas (Guanambi);GUANAMBI - ROTA 05.5
Muzambinho;VCA
NOVA CANAÃ;NOVA CANAÃ - ROTA 02
Nova Mutum;VCA
Paço do Lumiar;VCA
Pajeu do Vento;CAETITE - ROTA 05.3
PALMAS DE MONTE ALTO;PALMAS DE MONTE ALTO - ROTA 05.4
PALMAS DE MONTE ALTO (BA);PALMAS DE MONTE ALTO - ROTA 05.4
PARAMIRIM;PARAMIRIM - ROTA 03.2
PARAMIRIM (BA);PARAMIRIM - ROTA 03.2
Parateca;MALHADA- ROTA 05.4
Piatã;PIATÃ - ROTA 03.5
PIATA (BA);PIATÃ - ROTA 03.5
Pilões;CANDIBA - ROTA 05.4
PINDAÍ;PINDAI - ROTA 05.4
Pindorama (Iuiu);IUIU - ROTA 05.4
PINDORAMA/IUIU;IUIU - ROTA 05.4
PIRIPÁ;PIRIPA - RETIRA 03
PIRIPA (BA);PIRIPA - RETIRA 03
PLANALTO;PLANALT0 - ROTA 01
PLANALTO (BA);PLANALT0 - ROTA 01
POCOES;POÇÕES - ROTA 01
POÇÕES;POÇÕES - ROTA 01
POCOES (BA);POÇÕES - ROTA 01
PO??ES;POÇÕES - ROTA 01
Porto Alegre;VCA
POTIRAGUA;POTIRAGUA - ROTA 04
Pradoso;VCA
PRESIDENTE JÂNIO QUADROS;CARAIBAS - RETIRA 05
Presidente Jânio Quadros;CARAIBAS - RETIRA 05
QUARAÇU;CANDIDO SALES - RETIRA 02
Rancho das Mães;PALMAS DE MONTE ALTO - ROTA 05.4
RIO DE CONTAS;RIO DE CONTAS - ROTA 03.3
